Requirement,Previous Gate,Modification,Biology,Completeness,Connections/Sequence,Labels,Leaders,TA,EN,Source Integrity,360px,Enlarged,New State
B3-01 Amoeba,Completeness/labels/leaders FAIL,"Added four source-mapped numbered callouts: pseudopodium, nucleus, food vacuole, contractile vacuole",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-02 Paramecium external/oral,Completeness/labels/leaders FAIL,"Added oral-groove, cytostome/cytopharynx, macro- and micronucleus callouts; separate CV/cilia plate remains independent",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-03 Entamoeba,Completeness/labels/leaders FAIL,"Added trophozoite, nucleus, mature cyst and four-nuclei callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-04 Trypanosoma,Completeness/labels/leaders FAIL,"Added flagellum, undulating membrane, nucleus and kinetoplast callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-05 Leishmania,Completeness/labels/leaders FAIL,"Added promastigote, flagellum, kinetoplast-region and intracellular-amastigote callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-06 Plasmodium life cycle,Completeness/sequence labels FAIL,"Numbered existing directed cycle nodes: mosquito/sporozoite entry, liver, erythrocytic cycle, gametocytes, mosquito sexual/sporogonic phase",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-07 Porifera canal comparison,Completeness/labels FAIL,"Identified existing three comparison forms as Asconoid, Syconoid and Leuconoid",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-08 Aurelia,Completeness/labels/leaders FAIL,"Added umbrella, gonadal region, manubrium/oral region and oral-arm/tentacular-region callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-09 Physalia,Completeness/labels/leaders FAIL,Added pneumatophore and conservative polymorphic-zooid/tentacular-region callouts without inventing individual zooid microanatomy,PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-10 Coral,Completeness/labels/leaders FAIL,"Added tentacles, mouth, gastrovascular cavity and calcareous corallite/basal-skeleton callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-11 Taenia morphology,Completeness/labels/leaders FAIL,"Added scolex, sucker/armed-rostellum region, neck and proglottid-progression callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-12 Taenia life cycle,Completeness/sequence labels FAIL,"Numbered existing directed nodes: human adult, eggs/gravid segments, pig, cysticercus, ingestion to adult",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-13 Nematode comparison,Completeness/labels FAIL,"Identified the four existing representative silhouettes using accepted comparison scope: Ascaris, Wuchereria, Enterobius, Ancylostoma",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-14 Peripatus,Completeness/labels/leaders FAIL,"Added antennae, oral-papilla/slime-gland region, unjointed lobopods and terminal-claw callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-15 Crustacean larvae,Completeness/labels FAIL,"Identified three existing representative forms as Nauplius, Protozoea-type and Mysis-type progression",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-16 IPM,Completeness/sequence labels FAIL,"Mapped existing directed five-node cycle to monitoring, identification/threshold, integrated controls, targeted chemical intervention, evaluation/feedback",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-17 Molluscan body plan,Completeness/labels/leaders FAIL,"Added shell/mantle, visceral mass, head, muscular foot and mantle-cavity/posterior-region callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-18 Gastropod torsion,Completeness/sequence labels FAIL,"Identified pre-torsion, 180-degree larval rotation and post-torsion condition",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-19 Cephalopod,Completeness/labels/leaders FAIL,"Added mantle, head/eye, funnel and arms/tentacles callouts",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
B3-20 Echinoderm larvae,Completeness/labels FAIL,"Identified representative asteroid Bipinnaria, echinoid Echinopluteus and holothuroid Auricularia forms",PASS,PASS,PASS,PASS,PASS,VERIFIED / scientific-term retention where appropriate,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
NEREIS-03 Digestive,Completeness FAIL,"Added mouth, buccal-cavity and rectum differentiation/callouts to the existing continuous tract; existing pharynx/jaws, oesophagus and intestine retained",PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
NEREIS-05 Nervous,Completeness FAIL,Added distinct subpharyngeal ganglion at the circumpharyngeal-connective/ventral-cord junction,PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
NEREIS-06 Excretory,Connections/Completeness FAIL,"Replaced conservative N1 with R2 showing nephrostome in one segment, tubule crossing the septum and nephridiopore through the next segment",PASS,PASS,PASS,PASS,PASS,VERIFIED / specialist transliteration retained,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
PENAEUS-04 Respiration,Completeness/Connections FAIL,Added thoracic attachment context plus directed water-current arrows over phyllobranchiate lamellae; existing gill geometry retained,PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
PENAEUS-09 Reproduction,Completeness FAIL,Added sex-specific petasma and thelycum instructional callouts; finer duct microtopology remains intentionally unasserted,PASS,PASS,PASS,PASS,PASS,VERIFIED TRANSLITERATION — பெட்டாஸ்மா / தெலிக்கம்,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
Fasciola external,Completeness FAIL,"Added anterior cone, genital-pore region and posterior-end callouts; suckers/body outline retained",PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
Fasciola excretory,Completeness FAIL,Added excretory bladder before the posterior pore; flame-cell/collecting system retained,PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
Fasciola life cycle,Sequence/Completeness FAIL,Split the former generic snail-stage teaching into explicit sporocyst → redia before cercaria and added complete sequence legend,PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
Sycon L.S.,Source-resolvable completeness-scope PENDING,"Allocated pinacoderm, mesohyl and choanocyte-lined radial-canal/choanoderm callouts to the existing L.S.; canal topology not redrawn",PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
Ascaris external,Source-resolvable completeness-scope PENDING,Frozen scope as three lips + sex dimorphism + lateral-line/excretory-canal region; added lateral line only,PASS,PASS,PASS,PASS,PASS,VERIFIED,PASS,PENDING — final generated source,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,PENDING — PIPELINE-DEPENDENT CONTEXTUAL RENDER,SOURCE PASS / PIPELINE PENDING
