Step,Script,Governing Commit,Expected Git Blob,Observed Git Blob,Blob Match,Syntax,Manifest Entry,Status
1,ci/reconcile_r2.py,b1833264bad70203f4ee146047254e9c5c5204ca,20266f27c5ca76cf9c33d9f172254914e6c1cf54,20266f27c5ca76cf9c33d9f172254914e6c1cf54,PASS,PASS — Phase B1 verified,YES,PASS
2,ci/reconcile_v188.py,b1d5278339e45e6b359d4d3d60b467f12bd0d95d,a13c43a4634847e155f50abc2f1ef1ca63753c5d,a13c43a4634847e155f50abc2f1ef1ca63753c5d,PASS,PASS — Phase B1 verified,YES,PASS
3,ci/reconcile_v188_svg_batch1.py,23d9c2fb2fd45f07a69f84e10217fa6c14b3e5a4,53fdf94cbf5bf1ee922ebcaebe8e8f1a3a4539b5,53fdf94cbf5bf1ee922ebcaebe8e8f1a3a4539b5,PASS,PASS — Phase B1 verified,YES,PASS
4,ci/reconcile_v188_svg_batch2.py,6bcd3961aaf67db02799c2f5f589dd832d50d36f,5114abd6b5d15915b205abf3c5fc84d6923ca913,5114abd6b5d15915b205abf3c5fc84d6923ca913,PASS,PASS — Phase B1 verified,YES,PASS
5,ci/reconcile_v188_pencil_atlas_master.py,edddef3ed89744751b3c46967b027027ed8bed27,9339694db6847759506d6191b9b2a5669cc3c627,9339694db6847759506d6191b9b2a5669cc3c627,PASS,PASS — Phase B1 verified,YES,PASS
6,ci/v188_pencil_atlas_completion_batch3.py,dc0f43d1aad1b6e2431badcd0b812c192aef42e1,6630fd1f4105bd80eb72af9e941926f28da7a28e,6630fd1f4105bd80eb72af9e941926f28da7a28e,PASS,PASS — Phase B1 verified,YES,PASS
7,ci/reconcile_v188_earthworm_remediation.py,237a4a3a01f95aa32be4cc3827d4c0531950f5a3,48ef74fdf9b2f42a8e09ce85e089f98b0b631b30,48ef74fdf9b2f42a8e09ce85e089f98b0b631b30,PASS,PASS — Phase B1 verified,YES,PASS
8,ci/reconcile_v188_earthworm_tamil_terms_01.py,b0bcdef3e628eb68c2206169d5aedceea9cad394,de3afc592903f20c272169788c64f8033751fb38,de3afc592903f20c272169788c64f8033751fb38,PASS,PASS — Phase B1 verified,YES,PASS
9,ci/v188_penaeus_targeted_rectification.py,4a1a8ed552a3629f407114eda816583d021d96e2,4df396379059635fbabdc9aa2bb0dbf756f46344,4df396379059635fbabdc9aa2bb0dbf756f46344,PASS,PASS — Phase B1 verified,YES,PASS
10,ci/v188_obelia_targeted_remediation.py,7c6e9b9c911f556f12818f2decac0e3cfc7ee74a,162ca934b629a576e08f45625745cd4e83489457,162ca934b629a576e08f45625745cd4e83489457,PASS,PASS — Phase B1 verified,YES,PASS
11,ci/v188_nereis_targeted_remediation.py,f3d3331ced8a1374bea5897ae5f6cd30b348681b,f08448ca48b051712d049aca3a03bd3bc2399f27,f08448ca48b051712d049aca3a03bd3bc2399f27,PASS,PASS — Phase B1 verified,YES,PASS
12,ci/v188_pila_targeted_remediation.py,b4c31e6e1f73b4006da09c21ca1ba22f98ffdc51,9fb39db0cd22ac86f6e2478be246ef990c835aa8,9fb39db0cd22ac86f6e2478be246ef990c835aa8,PASS,PASS — Phase B1 verified,YES,PASS
13,ci/v188_asterias_targeted_remediation.py,28b062761b9759835b79ca8cf173ec41515c76f6,687804c9eee10b6ecfef48d5eba5e5ce33c67d4c,687804c9eee10b6ecfef48d5eba5e5ce33c67d4c,PASS,PASS — Phase B1 verified,YES,PASS
14,ci/v188_fasciola_ascaris_targeted_remediation.py,362dd0632fd45aa50a5e1562270360e070e7a583,e4361b7f65d9a304578a3dda2da2acd16dd2ca90,e4361b7f65d9a304578a3dda2da2acd16dd2ca90,PASS,PASS — Phase B1 verified,YES,PASS
15,ci/v188_paramecium_cv_cilia_targeted_creation.py,525b6f0c202d4fb03943d980e4d67588b03a3a7c,1d605464677c554de7d637c34391d02f336638f4,1d605464677c554de7d637c34391d02f336638f4,PASS,PASS — Phase B1 verified,YES,PASS
16,ci/v188_source_blocker_pass2_batch3_labels.py,08cb7fa08ada4ee04a4fcf1e8e9d4074b1c09086,f1d9b9802afe9e8a62a62d289ddf3742b15654d8,f1d9b9802afe9e8a62a62d289ddf3742b15654d8,PASS,PASS — Phase B1 verified,YES,PASS
17,ci/v188_source_blocker_pass2_systems.py,a5799a3110e3adc851071e3844de697b8398ce4e,111c2905f7c8a4eb3747fcdb5f532ed01b1e5445,111c2905f7c8a4eb3747fcdb5f532ed01b1e5445,PASS,PASS — Phase B1 verified,YES,PASS
18,ci/v188_source_blocker_pass2_integrity.py,1ee876c290befd01afdbfee8f83007b717f2c305,d5d4896b788fa93c3aeda474225d4b11f2c2583a,d5d4896b788fa93c3aeda474225d4b11f2c2583a,PASS,PASS — Phase B1 verified,YES,PASS
19,ci/v188_source_blocker_pass2_terminology.py,1a2185cb852d3cedba781a99fb561bf9bdedaef5,7a43af2a37e63ce7d3e5b9083174552808d4958b,7a43af2a37e63ce7d3e5b9083174552808d4958b,PASS,PASS — Phase B1 verified,YES,PASS
