Figure ID,Organism,Figure/System,PDF Page,Lesson,Reference Match,Biology,Connections,Leader Lines,English,Tamil,Embedded,360px,Enlarged,Overall,Correction Required
master-sycon-canal,Sycon,Syconoid canal system + water flow,p12–13,u2-sycon,PASS,PASS,PASS,PENDING,PASS,TERMINOLOGY REVIEW PENDING,YES,FAIL,PASS,PENDING,"Biological topology remains accepted only. At 360px the in-SVG flow sentence is too small to serve as readable instructional text; move flow wording to responsive legend/caption or use numbered callouts. Independently verify every numbered leader endpoint and Tamil terms before overall PASS."
master-fasciola-reproductive,Fasciola hepatica,Reproductive system,p21,u3-fasciola,PASS,FAIL,FAIL,PENDING,PASS,TERMINOLOGY REVIEW PENDING,YES,PENDING,PASS,FAIL,"Current master is too simplified for the lesson/reference: it does not independently resolve vasa efferentia/vas deferens/seminal-vesicle pathway, vitelline ducts/reservoir and full common genital topology. Correct against p21; do not infer uncertain junctions."
batch1#ASCARIS-FEMALE,Ascaris lumbricoides,Female reproductive system,p25,u3-ascaris,PASS,FAIL,FAIL,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,FAIL,"Combined-sex Batch-1 schematic merges oviduct/uterus labelling and does not provide an independently auditable female topology. Create/correct a female-specific plate showing paired ovaries→oviducts→uteri→vagina→vulva as supported by p25."
batch1#ASCARIS-MALE,Ascaris lumbricoides,Male reproductive system,p25,u3-ascaris,PASS,FAIL,FAIL,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,FAIL,"Combined-sex Batch-1 schematic merges vas deferens/seminal-vesicle labelling and does not independently resolve testis→vas deferens→seminal vesicle→ejaculatory duct/cloaca. Correct as a male-specific plate against p25."
batch1#EARTHWORM,Earthworm,Multi-system composite,p30,u4-annelida,PASS,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,YES,FAIL,PENDING,FAIL,"Established pedagogical/mobile congestion failure. Do not return to PENDING. Retain only as overview; system-specific plates are the corrective teaching figures."
batch2#EARTHWORM-EXTERNAL,Earthworm,External morphology,p30,u4-annelida,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"System-specific candidate exists; requires direct source/reference and lesson-context render audit."
batch2#EARTHWORM-DIGESTIVE,Earthworm,Digestive system,p30,u4-annelida,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"System-specific candidate exists; audit buccal cavity/pharynx/oesophagus/gizzard/intestine/typhlosole relationships against p30 and lesson."
batch2#EARTHWORM-VASCULAR,Earthworm,Blood vascular system,p30,u4-annelida,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"System-specific candidate exists; audit dorsal/ventral vessels and aortic-arch relationships independently."
batch2#EARTHWORM-NERVOUS,Earthworm,Nervous system,p30,u4-annelida,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"System-specific candidate exists; audit cerebral ganglia/circumpharyngeal connectives/ventral nerve cord where represented."
batch2#EARTHWORM-EXCRETORY,Earthworm,Excretory/nephridial system,p30,u4-annelida,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"System-specific candidate exists; nephridial type/segmental relationship must match lesson/reference and must not be approximated."
batch2#EARTHWORM-REPRODUCTIVE,Earthworm,Reproductive system,p30,u4-annelida,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"System-specific candidate exists; audit reproductive-organ positions and segment relationships against p30/lesson."
master-penaeus-appendage,Penaeus,Generalised biramous appendage,p34,u4-penaeus,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,YES,PASS,PASS,PENDING,"Valid only as a generalised biramous-plan teaching figure. It cannot satisfy specialised appendage identity/serial-order/attachment requirement."
NOT-YET-CREATED-PENAEUS-SPECIALISED,Penaeus,Specialised appendage series / identity and attachment positions,p34,u4-penaeus,PASS,NOT YET CREATED,NOT YET CREATED,NOT YET CREATED,NOT YET CREATED,TERMINOLOGY REVIEW PENDING,NO,NOT YET CREATED,NOT YET CREATED,NOT YET CREATED,"Targeted remediation permitted. p34 visibly distinguishes cephalic, thoracic and abdominal appendage series; construct only after exact identity/attachment inventory is transcribed and checked."
batch1#PILA,Pila globosa,Pallial respiratory structures + principal systems,p41,u5-pila,PASS,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"p41 supports aquatic ctenidial and aerial pulmonary-sac organisation. Existing overview must not substitute for Pila-specific system rows; audit each system-specific candidate separately."
master-asterias-wvs,Asterias,Water-vascular system + ampulla/tube-foot,p44,u5-asterias,PASS,PASS,PASS,PENDING,PASS,TERMINOLOGY REVIEW PENDING,YES,PENDING,PASS,PENDING,"Core madreporite→stone canal→ring canal→radial/lateral canal→ampulla/tube-foot topology is supported by p44. Numbered endpoint audit, Tamil legend and actual lesson-context 360px render remain open. Do not use unavailable p45 as visible evidence."
batch2#OBELIA-COLONY,Obelia,Colony / hydranth / gonangium,p16,u2-obelia,PASS,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"p16 clearly distinguishes feeding hydranth and reproductive gonangium. Audit candidate endpoints and zooid distinction before promotion."
batch2#OBELIA-MEDUSA,Obelia,Medusa,p16,u2-obelia,PASS,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"Audit hydrozoan medusa morphology against p16; do not substitute Aurelia/scyphozoan morphology."
batch2#OBELIA-LIFECYCLE,Obelia,Life-cycle organisation,p16,u2-obelia,PASS,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,YES,PENDING,PENDING,PENDING,"Audit metagenetic sequence and colony/medusa/planula relationships against p16."
