Requirement ID,Organism,Figure/System,Frozen Requirement Type,Active Candidate,Reference,Biology,Completeness,Connections/Sequence,Labels,Leaders,EN,TA,Embedded,Source Integrity,Reference Resolution,360px,Enlarged,Overall Source State,Pending Class,Blocking?,Evidence/Exact Finding
PAR-01,Paramecium,External morphology + oral apparatus,REQUIRED FIGURE,batch3#paramecium + Pass2 figure-specific callouts,p5,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
PAR-02,Paramecium,Contractile-vacuole / ciliary organisation,REQUIRED FIGURE,PARAMECIUM-CV-CILIA-N1,p5,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
AMO-01,Amoeba,External morphology / pseudopodia,REQUIRED FIGURE,batch3#amoeba + Pass2 figure-specific callouts,p4,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
ENTA-01,Entamoeba histolytica,Trophozoite / cyst morphology,REQUIRED FIGURE,batch3#entamoeba + Pass2 figure-specific callouts,p7,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
TRYP-01,Trypanosoma,Flagellate morphology,REQUIRED FIGURE,batch3#trypanosoma + Pass2 figure-specific callouts,p7,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
LEISH-01,Leishmania,Promastigote / amastigote forms,REQUIRED FIGURE,batch3#leishmania + Pass2 figure-specific callouts,p7,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
PLASM-01,Plasmodium,Human–mosquito life-cycle organisation,PROCESS FIGURE REQUIRED,batch3#plasmodium + Pass2 stage callouts,p10,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
SYC-01,Sycon,External morphology,REQUIRED FIGURE,batch2#sycon_external,p12,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
SYC-02,Sycon,Longitudinal section / body organisation,REQUIRED FIGURE,batch2#sycon_ls + Pass2 scope callouts,p12–13,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-013 → scope allocation PASS
SYC-03,Sycon,Calcareous spicules,REQUIRED FIGURE,batch2#sycon_spicules,p12,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
SYC-04,Sycon,Syconoid canal system / water flow,PROTECTED MASTER,master-sycon-canal + Pass2 presentation/ID scoping,p13,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-010 → presentation PASS; topology protected
POR-01,Porifera,Asconoid / syconoid / leuconoid comparison,REQUIRED FIGURE,batch3#porifera-canals + Pass2 figure-specific callouts,p13,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
OBE-01,Obelia,Colony architecture,REQUIRED FIGURE,OBELIA-01-R1,p16,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
OBE-02,Obelia,Hydranth / gastrozooid detail,SUBFIGURE REQUIREMENT,batch2#obelia-zooids-left,p16,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
