Organism,Requirement/Figure,Current Candidate,Biology,Completeness,Connections,Leaders,EN,TA,Embedded,Reference Resolution,360px,Enlarged,Overall,Action Needed
Paramecium,External morphology + oral apparatus,batch3#paramecium,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable biology/leader review
Paramecium,Contractile-vacuole / ciliary organisation,PARAMECIUM-CV-CILIA-N1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + pipeline contextual render
Amoeba,External morphology / pseudopodia,batch3#amoeba,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Entamoeba histolytica,Trophozoite / cyst morphology,batch3#entamoeba,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Trypanosoma,Flagellate morphology,batch3#trypanosoma,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Leishmania,Promastigote / amastigote forms,batch3#leishmania,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Plasmodium,Human-mosquito life-cycle organisation,batch3#plasmodium,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable process audit
Sycon,External morphology,batch2#sycon_external,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Sycon,Longitudinal section / body organisation,batch2#sycon_ls,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Sycon,Spicules,batch2#sycon_spicules,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Sycon,Syconoid canal system / water flow,master-sycon-canal,PASS,PASS,PASS,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Leader/Tamil; protect topology
Porifera,Asconoid / syconoid / leuconoid comparison,batch3#porifera-canals,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Obelia,Colony architecture,OBELIA-01-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + embedding/render reconstruction
Obelia,Hydranth / gastrozooid detail,batch2#obelia-zooids-left,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected pending source review
Obelia,Gonangium / gonozooid detail,batch2#obelia-zooids-right,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected pending source review
Obelia,Medusa anatomy,OBELIA-02-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + embedding/render reconstruction
Obelia,Life cycle / metagenesis,OBELIA-03-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + embedding/render reconstruction
Aurelia,Medusa morphology,batch3#aurelia,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Physalia,Colonial polymorphism,batch3#physalia,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Coral,Coral polyp / reef organisation,batch3#coral,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Fasciola hepatica,External morphology,batch2#fasciola_external,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Fasciola hepatica,Digestive system,batch2#fasciola_digestive,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
